Order Date,Country,Region,Sales Rep,Category,Product,Sales,Profit,Discount
2022-09-23,Canada,South,Christopher Smith,Electronics,Smartphone,546.6,66.14,11.06
2024-04-13,Germany,South,Erica Singh,Grocery,Eggs,971.04,187.73,163.52
2023-12-21,USA,South,Erica Singh,Electronics,Smartwatch,1409.66,289.73,3.25
2023-03-27,USA,North,Michelle Adams,Grocery,Bread,555.64,126.51,2.77
2024-04-15,UK,South,Pamela Knapp,Furniture,Table,360.99,82.85,48.79
2022-03-01,USA,East,Kaylee Wheeler,Electronics,Headphones,1268.66,296.55,84.33
2022-08-05,UK,North,Danielle Valdez,Clothing,Jacket,1326.11,326.56,250.61
2024-03-06,UK,South,Christopher Smith,Sports,Football,1017.95,221.36,153.72
2023-02-20,Canada,East,Casey Manning,Sports,Cycling Helmet,864.02,105.52,126.79
2022-11-23,USA,South,Kaylee Wheeler,Grocery,Vegetables,411.51,94.19,61.97
2022-11-02,Canada,West,James Warren,Grocery,Eggs,1437.79,373.93,3.24
2024-12-01,Germany,North,Casey Manning,Clothing,Jeans,454.72,63.68,88.32
2023-03-19,USA,East,Christopher Smith,Clothing,Jacket,1966.71,221.6,91.06
2023-06-17,India,South,Mitchell Carter,Sports,Cycling Helmet,1568.96,100.61,237.61
2023-03-06,India,West,Casey Manning,Sports,Tennis Racket,410.73,57.04,51.76
2022-08-03,USA,West,Kaylee Wheeler,Grocery,Vegetables,1453.36,386.88,210.35
2024-11-30,USA,East,Kaylee Wheeler,Grocery,Milk,209.76,56.82,40.65
2023-02-11,Canada,South,Mitchell Carter,Sports,Cycling Helmet,685.86,74.61,32.42
2023-11-15,UK,East,James Warren,Clothing,T-shirt,32.36,8.81,2.15
2024-08-28,USA,West,Michelle Adams,Furniture,Cabinet,776.64,181.48,131.48
2022-02-17,USA,East,Erica Singh,Electronics,Laptop,207.28,21.48,35.92
2022-11-10,Germany,East,Danielle Valdez,Sports,Cycling Helmet,744.95,186.89,142.69
2022-09-29,USA,South,Casey Manning,Sports,Football,1892.08,404.85,371.08
2022-07-29,USA,South,Erica Singh,Furniture,Sofa,1603.5,429.77,252.28
2024-09-21,USA,East,Christopher Smith,Electronics,Tablet,736.71,110.8,7.44
2024-10-13,India,West,Christopher Smith,Clothing,Hat,624.93,161.47,9.91
2024-02-22,USA,North,Cody Silva,Grocery,Fruits,1304.21,205.06,227.44
2024-10-03,UK,South,Erica Singh,Furniture,Sofa,1080.68,279.73,21.81
2023-08-16,USA,South,Christopher Smith,Electronics,Tablet,1381.46,117.55,191.15
2022-02-19,Germany,North,Danielle Valdez,Clothing,Shoes,1112.42,226.11,143.4
2023-07-24,USA,West,Kaylee Wheeler,Clothing,Shoes,922.84,121.31,3.48
2022-11-25,India,South,Casey Manning,Electronics,Smartphone,161.17,41.73,24.89
2023-11-06,USA,North,Erica Singh,Sports,Football,582.44,96.9,81.83
2022-09-13,Canada,West,Danielle Valdez,Furniture,Desk,609.67,133.04,21.52
2024-01-04,Germany,West,Michelle Adams,Electronics,Smartwatch,1224.37,167.69,153.05
2023-05-09,UK,South,Christopher Smith,Sports,Yoga Mat,383.96,98.51,6.6
2023-04-04,Germany,North,Christopher Smith,Grocery,Milk,391.94,74.36,37.22
2024-06-08,Germany,West,James Warren,Electronics,Tablet,1706.44,381.62,1.79
2023-05-17,Canada,West,Danielle Valdez,Furniture,Sofa,268.98,65.28,34.52
2024-08-03,UK,South,Mitchell Carter,Sports,Football,1746.23,443.54,141.18
2023-07-24,Germany,West,Danielle Valdez,Grocery,Milk,1440.5,206.04,29.13
2023-01-10,Canada,South,Erica Singh,Furniture,Desk,1886.45,133.18,262.73
2022-11-27,Germany,East,Michelle Adams,Grocery,Milk,1751.03,260.37,326.92
2024-12-19,UK,South,Michelle Adams,Grocery,Eggs,811.93,94.61,55.34
2022-02-24,USA,West,Christopher Smith,Grocery,Bread,744.77,97.53,103.09
2024-07-06,USA,West,Christopher Smith,Grocery,Milk,568.92,122.69,64.23
2024-10-11,UK,West,Michelle Adams,Grocery,Eggs,561.28,120.82,52.06
2024-01-31,Germany,West,Michelle Adams,Clothing,Hat,1458.44,170.37,113.38
2023-05-17,Germany,East,Michelle Adams,Electronics,Smartphone,361.23,71.47,44.85
2024-12-20,Germany,South,Michelle Adams,Clothing,Jacket,1549.17,228.26,209.55
2022-04-06,UK,North,Christopher Smith,Electronics,Smartphone,710.48,64.06,95.74
2024-10-26,Germany,West,Michelle Adams,Electronics,Tablet,484.25,120.15,78.61
2022-08-30,Germany,West,Cody Silva,Grocery,Eggs,573.41,31.0,71.94
2023-05-07,India,East,Erica Singh,Electronics,Smartwatch,1637.19,325.09,300.07
2022-07-30,Canada,West,Mitchell Carter,Furniture,Chair,1906.27,372.0,224.78
2023-03-15,USA,East,Danielle Valdez,Electronics,Smartphone,1631.32,223.25,315.18
2024-09-02,Canada,North,Michelle Adams,Clothing,Jacket,102.38,17.17,17.08
2023-09-19,India,North,Kaylee Wheeler,Clothing,T-shirt,355.17,105.34,3.94
2023-03-03,India,North,Mitchell Carter,Grocery,Vegetables,1709.18,89.62,144.1
2023-11-01,USA,East,Casey Manning,Sports,Basketball,491.1,87.35,77.93
2022-07-13,Canada,West,Christopher Smith,Furniture,Chair,1431.52,178.03,161.74
2022-06-03,Canada,West,Casey Manning,Electronics,Smartphone,29.22,3.77,2.3
2024-12-15,India,South,Erica Singh,Grocery,Fruits,1149.57,149.99,179.98
2023-02-02,Germany,South,Danielle Valdez,Electronics,Laptop,992.33,183.97,91.25
2022-08-14,UK,South,Pamela Knapp,Electronics,Headphones,763.1,169.14,146.27
2022-06-14,UK,East,Cody Silva,Sports,Tennis Racket,777.06,172.12,115.59
2022-07-13,India,West,Pamela Knapp,Grocery,Milk,73.23,8.15,3.4
2022-11-23,Canada,East,Kaylee Wheeler,Clothing,Shoes,205.11,46.11,17.92
2025-02-03,Germany,East,Christopher Smith,Furniture,Desk,1573.08,454.23,281.92
2022-11-09,UK,North,Casey Manning,Electronics,Smartphone,1501.17,237.77,109.68
2024-05-08,USA,North,Cody Silva,Sports,Cycling Helmet,872.98,261.18,113.87
2023-09-22,USA,East,Erica Singh,Electronics,Tablet,169.02,29.23,16.24
2022-11-24,UK,South,Christopher Smith,Clothing,Shoes,954.29,75.72,174.84
2023-06-05,USA,South,Danielle Valdez,Furniture,Sofa,1371.34,204.6,138.63
2025-01-31,UK,West,Kaylee Wheeler,Electronics,Smartphone,177.17,38.73,22.95
2022-09-03,India,North,Kaylee Wheeler,Clothing,T-shirt,1325.1,153.5,209.01
2023-09-08,USA,East,Cody Silva,Electronics,Laptop,1743.67,192.05,164.93
2024-02-18,India,South,Erica Singh,Sports,Basketball,98.48,16.82,10.86
2023-04-21,Germany,South,Christopher Smith,Furniture,Sofa,822.93,115.56,81.18
2024-04-15,Canada,East,Christopher Smith,Electronics,Tablet,1289.91,385.36,228.2
2024-09-19,UK,North,Pamela Knapp,Clothing,Shoes,765.99,98.84,19.2
2022-05-28,USA,South,Michelle Adams,Electronics,Smartphone,1085.5,245.4,183.96
2022-03-21,UK,South,Christopher Smith,Electronics,Headphones,157.99,35.56,1.47
2024-09-11,UK,North,James Warren,Grocery,Milk,129.49,7.34,5.53
2023-06-08,Canada,West,Danielle Valdez,Grocery,Vegetables,876.57,117.28,128.83
2024-08-05,Germany,East,Casey Manning,Electronics,Headphones,811.54,66.94,153.56
2024-05-11,Canada,North,Michelle Adams,Electronics,Tablet,1773.03,463.2,139.89
2024-01-16,India,East,James Warren,Sports,Basketball,1911.84,311.0,62.61
2024-05-15,Canada,East,Mitchell Carter,Grocery,Eggs,68.24,3.58,12.66
2024-03-22,UK,West,Pamela Knapp,Furniture,Sofa,1789.46,296.74,290.06
2024-01-04,UK,South,Michelle Adams,Furniture,Chair,744.95,71.78,139.34
2024-03-31,Germany,South,Casey Manning,Sports,Tennis Racket,65.26,17.27,2.92
2023-02-28,Germany,West,Erica Singh,Furniture,Chair,1370.39,387.75,15.02
2023-03-31,USA,South,Cody Silva,Sports,Football,1874.4,467.52,351.29
2022-09-24,Germany,South,Danielle Valdez,Clothing,Jacket,38.29,9.32,2.39
2023-04-08,USA,South,Pamela Knapp,Furniture,Chair,634.82,52.48,108.87
2024-04-12,USA,West,Cody Silva,Sports,Cycling Helmet,1477.03,324.04,219.83
2022-12-19,India,West,Cody Silva,Grocery,Vegetables,1547.88,314.69,145.87
2022-08-15,UK,West,Kaylee Wheeler,Electronics,Tablet,52.45,15.08,8.59
2025-02-01,Canada,South,Michelle Adams,Electronics,Tablet,197.08,28.49,35.39
2024-12-09,USA,North,Danielle Valdez,Clothing,Jacket,1239.31,216.54,67.82
2022-12-13,Germany,South,Michelle Adams,Furniture,Sofa,513.02,73.17,16.11
2024-01-23,Germany,East,Casey Manning,Electronics,Smartwatch,123.84,12.28,8.54
2023-02-28,USA,East,Michelle Adams,Clothing,Jacket,1444.02,184.81,245.5
2023-10-15,USA,West,James Warren,Electronics,Smartwatch,1709.26,297.05,262.69
2023-04-27,India,South,Danielle Valdez,Furniture,Sofa,227.54,48.31,22.87
2022-05-05,India,East,Danielle Valdez,Furniture,Cabinet,877.74,137.7,171.32
2023-03-11,Canada,South,Casey Manning,Electronics,Smartwatch,1251.22,104.68,1.84
2023-01-25,India,South,Kaylee Wheeler,Sports,Football,118.22,5.92,21.09
2024-10-21,USA,North,Casey Manning,Clothing,T-shirt,201.44,49.79,7.16
2024-02-25,USA,North,Mitchell Carter,Clothing,Jeans,723.14,188.91,125.15
2023-05-11,India,West,Pamela Knapp,Sports,Football,909.59,190.82,153.05
2024-05-27,Germany,North,Erica Singh,Clothing,T-shirt,767.92,68.5,108.45
2024-10-07,Canada,North,Pamela Knapp,Sports,Tennis Racket,712.13,102.31,115.92
2023-03-29,UK,East,Cody Silva,Furniture,Sofa,732.16,81.38,95.11
2023-06-23,UK,East,Cody Silva,Grocery,Bread,1340.02,327.93,93.51
2022-11-20,Germany,South,Christopher Smith,Grocery,Milk,929.08,182.5,178.46
2025-01-03,Canada,North,Christopher Smith,Clothing,T-shirt,1331.76,291.81,203.17
2022-12-12,UK,South,Pamela Knapp,Clothing,T-shirt,1106.99,260.25,50.58
2023-04-15,USA,South,Michelle Adams,Sports,Yoga Mat,360.45,85.08,21.1
2023-09-10,USA,West,Michelle Adams,Clothing,T-shirt,1841.91,395.33,237.47
2024-09-23,Germany,North,Christopher Smith,Sports,Football,1133.93,257.31,209.32
2024-06-30,India,West,Danielle Valdez,Furniture,Desk,39.52,9.4,1.94
2022-05-19,UK,West,James Warren,Electronics,Headphones,1876.46,212.16,18.87
2024-09-12,India,West,Cody Silva,Sports,Tennis Racket,1629.82,482.19,8.99
2024-06-09,Germany,North,Erica Singh,Grocery,Bread,1613.92,386.91,139.42
2023-01-02,Germany,South,Cody Silva,Sports,Tennis Racket,1886.39,105.84,0.02
2023-12-08,Germany,West,Danielle Valdez,Grocery,Eggs,1717.65,229.69,62.9
2025-02-07,Canada,West,Danielle Valdez,Sports,Football,1647.44,194.18,184.79
2022-06-23,Germany,East,Danielle Valdez,Grocery,Vegetables,1223.15,277.32,116.57
2024-12-29,India,South,Pamela Knapp,Furniture,Table,1805.23,313.53,357.4
2024-04-13,Canada,South,Michelle Adams,Furniture,Table,92.39,14.53,3.62
2023-10-14,Germany,East,Danielle Valdez,Clothing,T-shirt,1524.1,159.14,125.74
2024-12-14,Canada,East,Mitchell Carter,Furniture,Sofa,1294.93,360.81,208.79
2022-11-12,Germany,North,Erica Singh,Electronics,Headphones,1717.85,476.13,16.25
2024-12-04,Canada,West,Cody Silva,Furniture,Sofa,128.68,25.95,12.76
2022-05-15,Canada,West,Cody Silva,Grocery,Fruits,1236.47,185.47,101.54
2024-04-10,India,South,James Warren,Grocery,Eggs,619.79,85.54,123.94
2023-06-13,Canada,East,Christopher Smith,Electronics,Smartphone,502.62,138.19,80.52
2022-06-25,Canada,East,Casey Manning,Furniture,Table,343.42,34.18,5.67
2024-07-04,Germany,West,Danielle Valdez,Electronics,Laptop,788.27,67.27,24.82
2024-04-24,UK,South,Michelle Adams,Sports,Football,296.16,69.86,37.27
2024-10-08,Canada,South,Mitchell Carter,Grocery,Bread,904.23,268.32,10.07
2022-07-18,Germany,North,Erica Singh,Clothing,Shoes,1774.19,267.88,279.19
2024-02-05,USA,West,Cody Silva,Electronics,Smartwatch,714.4,123.49,7.5
2024-01-02,Canada,West,Cody Silva,Clothing,Jeans,515.5,99.3,18.69
2024-02-04,India,North,Kaylee Wheeler,Clothing,T-shirt,1644.29,154.35,30.6
2022-04-04,Canada,East,Mitchell Carter,Grocery,Bread,1442.42,352.62,188.01
2022-09-22,USA,East,Pamela Knapp,Sports,Football,1611.83,301.22,122.76
2024-01-24,UK,North,Casey Manning,Clothing,Jeans,866.73,127.92,129.71
2023-03-01,Canada,West,Kaylee Wheeler,Electronics,Laptop,1692.07,318.95,46.76
2022-12-10,USA,East,Casey Manning,Sports,Tennis Racket,1967.97,400.58,38.55
2023-03-13,India,West,Erica Singh,Grocery,Eggs,851.62,203.11,149.93
2024-09-30,India,East,Christopher Smith,Electronics,Laptop,1191.76,215.89,71.51
2022-10-31,UK,West,Casey Manning,Grocery,Fruits,25.69,4.58,2.38
2022-03-09,USA,South,Cody Silva,Grocery,Vegetables,407.5,94.0,26.36
2022-03-14,India,North,Erica Singh,Sports,Cycling Helmet,906.92,268.33,62.53
2022-11-25,UK,West,Pamela Knapp,Furniture,Desk,231.63,58.33,28.22
2023-10-29,USA,East,Pamela Knapp,Electronics,Laptop,104.29,14.35,10.1
2025-01-19,USA,South,Michelle Adams,Furniture,Sofa,413.94,52.16,80.68
2023-02-24,Canada,South,Cody Silva,Sports,Football,1769.95,126.39,313.4
2023-07-23,USA,West,Erica Singh,Sports,Tennis Racket,1539.77,287.22,113.01
2024-10-15,UK,North,Christopher Smith,Electronics,Smartwatch,1561.57,122.82,282.12
2022-08-29,Germany,East,Cody Silva,Grocery,Bread,1917.6,187.43,36.82
2024-11-20,Germany,East,Kaylee Wheeler,Sports,Yoga Mat,127.55,9.8,14.17
2024-09-06,India,South,Casey Manning,Sports,Basketball,1318.47,77.8,252.69
2024-11-08,Canada,East,Pamela Knapp,Clothing,T-shirt,385.33,101.39,39.25
2023-04-29,Germany,North,Pamela Knapp,Electronics,Smartwatch,1617.84,373.8,251.81
2024-09-17,Germany,East,Danielle Valdez,Grocery,Bread,634.61,99.42,75.21
2025-01-08,USA,South,Christopher Smith,Grocery,Milk,1664.85,180.2,157.03
2023-07-21,Canada,West,Kaylee Wheeler,Clothing,Hat,640.31,138.46,42.78
2024-01-03,India,North,Michelle Adams,Clothing,Jeans,648.02,151.73,22.16
2024-09-19,India,South,Kaylee Wheeler,Clothing,Jeans,20.88,5.17,1.57
2022-06-23,UK,West,Mitchell Carter,Furniture,Desk,209.05,12.86,2.53
2024-06-29,Germany,South,Michelle Adams,Grocery,Eggs,1973.81,551.66,338.87
2023-03-27,Germany,South,Kaylee Wheeler,Electronics,Headphones,1402.58,108.37,204.84
2025-02-07,USA,South,Casey Manning,Sports,Basketball,1153.07,229.88,87.49
2022-09-17,UK,West,Erica Singh,Grocery,Milk,1192.77,139.45,167.94
2025-01-15,USA,East,Cody Silva,Sports,Yoga Mat,342.9,47.36,7.65
2023-09-22,India,North,Erica Singh,Electronics,Headphones,1461.71,226.24,146.2
2022-10-23,Germany,South,Pamela Knapp,Sports,Yoga Mat,1671.4,474.26,323.56
2023-11-16,Canada,West,Kaylee Wheeler,Grocery,Eggs,1361.54,195.49,259.0
2023-02-22,Canada,East,James Warren,Furniture,Cabinet,1906.69,518.19,368.51
2023-03-10,UK,East,Kaylee Wheeler,Electronics,Smartwatch,476.92,80.53,92.72
2025-01-14,USA,South,Casey Manning,Furniture,Cabinet,1325.86,339.21,217.3
2024-04-04,Germany,East,Pamela Knapp,Grocery,Vegetables,911.02,225.32,140.15
2022-03-09,Canada,North,Danielle Valdez,Grocery,Bread,473.09,86.74,45.09
2024-02-01,USA,South,Christopher Smith,Electronics,Smartphone,1973.89,159.56,345.19
2024-06-17,Germany,East,Casey Manning,Furniture,Desk,1390.48,210.26,129.89
2024-06-18,Canada,North,Mitchell Carter,Electronics,Tablet,1869.78,94.87,134.1
2022-08-02,Germany,East,James Warren,Electronics,Headphones,1174.7,136.23,190.88
2023-08-01,Germany,West,Christopher Smith,Electronics,Laptop,1495.0,440.16,113.65
2024-04-10,Germany,North,Erica Singh,Clothing,T-shirt,864.68,75.01,38.93
2024-08-07,India,South,James Warren,Sports,Cycling Helmet,562.45,56.01,69.11
2024-08-16,India,East,Danielle Valdez,Sports,Yoga Mat,1108.33,72.3,167.05
2024-11-30,Germany,South,Pamela Knapp,Furniture,Sofa,1658.78,388.18,258.99
2023-02-06,USA,North,Pamela Knapp,Electronics,Smartwatch,1984.53,466.46,63.87
2023-07-01,USA,West,Casey Manning,Clothing,Shoes,1457.5,243.85,46.44
2024-07-10,Canada,East,Erica Singh,Sports,Tennis Racket,25.56,5.2,3.5
2023-07-09,USA,West,Cody Silva,Furniture,Chair,750.55,96.63,42.18
2024-11-06,Germany,North,James Warren,Furniture,Desk,1960.52,498.9,41.16
2024-05-26,Canada,West,Michelle Adams,Furniture,Chair,1697.8,309.49,292.24
2024-07-25,UK,East,Casey Manning,Electronics,Smartphone,1130.38,228.16,105.23
2022-10-04,Canada,West,Danielle Valdez,Furniture,Cabinet,1966.91,132.25,361.47
2022-11-15,Canada,West,Kaylee Wheeler,Electronics,Laptop,258.45,69.72,33.9
2022-11-12,UK,East,Danielle Valdez,Furniture,Table,207.66,20.04,3.91
2022-07-17,USA,North,Cody Silva,Electronics,Smartwatch,970.96,121.92,2.3
2025-02-06,UK,South,Kaylee Wheeler,Grocery,Milk,488.12,146.39,45.53
2023-10-30,Canada,East,Cody Silva,Electronics,Smartphone,1777.24,201.05,138.07
2022-02-11,Canada,West,Cody Silva,Electronics,Smartwatch,1466.09,164.82,160.24
2023-03-04,Germany,South,Michelle Adams,Sports,Yoga Mat,614.78,62.77,68.0
2022-02-26,India,East,Erica Singh,Clothing,Shoes,725.52,111.86,4.24
2024-03-06,UK,South,Cody Silva,Sports,Yoga Mat,1689.21,441.85,57.63
2023-01-07,India,West,Christopher Smith,Sports,Cycling Helmet,321.58,58.25,24.11
2024-03-20,Germany,North,Michelle Adams,Sports,Cycling Helmet,804.28,56.09,130.48
2024-02-07,Canada,East,Pamela Knapp,Furniture,Cabinet,514.15,132.13,53.74
2023-04-05,India,West,Christopher Smith,Sports,Yoga Mat,1523.08,447.76,255.32
2025-01-29,India,West,James Warren,Sports,Tennis Racket,347.57,29.33,27.49
2023-10-11,Canada,East,Pamela Knapp,Grocery,Milk,101.2,6.87,17.85
2024-12-28,Germany,West,Michelle Adams,Furniture,Chair,757.52,40.25,150.29
2023-02-15,India,East,Cody Silva,Electronics,Smartphone,231.1,20.33,26.06
2024-11-16,India,East,Erica Singh,Sports,Football,243.07,17.45,2.4
2022-04-06,Germany,South,Cody Silva,Electronics,Headphones,227.95,17.57,11.17
2022-03-08,USA,North,Erica Singh,Electronics,Smartwatch,892.67,202.09,83.24
2023-06-28,USA,South,Christopher Smith,Furniture,Chair,278.46,48.06,37.3
2023-01-15,USA,North,Michelle Adams,Grocery,Vegetables,1061.43,206.56,52.03
2023-04-02,USA,West,Danielle Valdez,Furniture,Desk,1188.24,328.22,23.25
2024-09-04,India,West,Christopher Smith,Electronics,Headphones,481.68,62.86,74.2
2024-04-25,India,North,Danielle Valdez,Grocery,Bread,1403.74,342.69,216.17
2023-07-12,India,West,Christopher Smith,Electronics,Laptop,69.57,13.69,2.62
2022-10-22,USA,West,Cody Silva,Clothing,Hat,1337.98,96.47,80.13
2024-03-17,UK,East,James Warren,Electronics,Tablet,875.48,178.53,42.54
2024-05-30,UK,South,Casey Manning,Grocery,Vegetables,1785.23,293.77,80.74
2023-10-25,UK,West,Christopher Smith,Clothing,T-shirt,527.61,50.66,12.9
2025-01-18,Canada,South,Michelle Adams,Furniture,Cabinet,147.98,25.4,24.61
2023-07-19,USA,North,Erica Singh,Electronics,Tablet,1723.85,190.01,306.94
2022-09-05,USA,East,Mitchell Carter,Clothing,Jeans,1028.34,249.37,116.65
2023-06-10,India,East,Cody Silva,Electronics,Smartphone,864.4,104.95,117.61
2022-04-21,Germany,East,Kaylee Wheeler,Furniture,Table,834.42,128.26,84.03
2023-09-29,India,East,Casey Manning,Sports,Basketball,1180.86,66.68,122.3
2022-09-14,USA,South,Casey Manning,Sports,Tennis Racket,47.96,2.91,6.92
2023-01-17,India,South,Mitchell Carter,Electronics,Laptop,1589.69,182.91,302.17
2023-01-27,Canada,West,Casey Manning,Electronics,Tablet,706.55,54.81,69.88
2023-02-01,India,East,James Warren,Furniture,Sofa,437.31,48.65,73.54
2024-08-17,USA,North,Danielle Valdez,Electronics,Headphones,359.73,83.74,37.59
2023-06-17,UK,South,Pamela Knapp,Electronics,Smartphone,1984.1,194.52,190.38
2023-03-30,UK,North,James Warren,Clothing,Jacket,1059.98,140.29,86.3
2023-06-15,Germany,West,Mitchell Carter,Clothing,Jacket,76.8,22.34,13.05
2023-01-20,Germany,South,Michelle Adams,Furniture,Desk,1257.39,94.44,180.99
2022-11-05,UK,South,Cody Silva,Sports,Tennis Racket,1856.73,500.79,233.45
2024-10-09,Canada,North,Kaylee Wheeler,Grocery,Fruits,117.65,8.2,19.84
2023-01-28,India,East,Erica Singh,Clothing,T-shirt,1414.67,371.81,82.93
2023-05-29,UK,South,Danielle Valdez,Grocery,Fruits,146.09,32.71,11.79
2023-06-14,Canada,East,Cody Silva,Electronics,Headphones,991.01,58.77,34.98
2022-03-27,UK,West,Kaylee Wheeler,Furniture,Sofa,1215.78,75.38,128.83
2024-03-08,India,East,Kaylee Wheeler,Electronics,Smartwatch,1627.36,168.33,245.38
2023-08-25,USA,West,Cody Silva,Clothing,Hat,1443.24,325.44,256.12
2022-05-06,UK,East,Cody Silva,Furniture,Sofa,756.36,76.75,134.02
2023-04-01,Canada,North,Casey Manning,Furniture,Desk,954.88,191.85,189.16
2024-08-11,USA,South,Pamela Knapp,Furniture,Table,61.43,14.56,2.15
2025-02-06,Germany,West,James Warren,Sports,Tennis Racket,24.01,2.06,1.51
2023-12-02,India,West,Mitchell Carter,Furniture,Table,1841.72,533.1,306.99
2023-12-19,Canada,South,Christopher Smith,Sports,Tennis Racket,1677.62,339.02,274.58
2024-07-29,India,North,Kaylee Wheeler,Sports,Basketball,1446.7,249.54,105.04
2023-12-29,Canada,North,Kaylee Wheeler,Furniture,Table,367.68,72.16,37.44
2024-02-27,Germany,East,Michelle Adams,Furniture,Sofa,1122.1,99.45,64.85
